hyperlink,Brand,Wine,Rating,Price,Timestamps
/NL/nl/valdespino-single-vineyard-inocente-fino-dry/w/1173658?price_id=23136328,Valdespino,Single Vineyard Inocente Fino Dry N.V.,"3,6","€20,95",1727910226.268829
/NL/nl/lustau-east-india-solera-sherry/w/1164439?price_id=32176155,Lustau,East India Solera Sherry N.V.,"4,0","€20,50",1727910226.2702465
/NL/nl/el-maestro-sierra-amoroso-medium/w/1408385?price_id=36333536,El Maestro Sierra,Amoroso (Medium) N.V.,"3,9","€19,95",1727910226.2712615
/NL/nl/gutierrez-colosia-amontillado-sherry/w/2394609?price_id=36042835,Gutiérrez Colosía,Amontillado Sherry N.V.,"3,8","€18,95",1727910226.2712615
/NL/nl/alvear-pedro-ximenez-de-anada/w/2028826?year=2019&price_id=35837210,Alvear,Pedro Ximénez de Añada 2019,"4,1","€18,75",1727910226.2722692
/NL/nl/fernando-de-castilla-classic-oloroso/w/2317331?price_id=24923304,Fernando de Castilla,Classic Oloroso N.V.,"3,5","€18,50",1727910226.2722692
/NL/nl/lustau-los-arcos-dry-amontillado-sherry-solera-reserva/w/1170127?price_id=37157111,Lustau,Los Arcos Dry Amontillado Sherry (Solera Reserva) N.V.,"3,6","€17,95",1727910226.273279
/NL/nl/es-marques-del-real-tesoro-eminencia-pedro-ximenez/w/5813163?price_id=27803324,Marqués del Real Tesoro,Eminencia Pedro Ximenez N.V.,"4,1","€16,49",1727910226.274286
/NL/nl/pastora-pedro-ximenez-sherry/w/4209269?price_id=21889217,Pastora,Pedro Ximénez Sherry N.V.,"4,1","€16,30",1727910226.274286
/NL/nl/gutierrez-colosia-fino-sherry/w/2021109?price_id=32524019,Gutiérrez Colosía,Fino Sherry N.V.,"3,4","€15,99",1727910226.2752953
/NL/nl/fernando-de-castilla-classic-dry-amontillado-sherry-jerez-xeres-sherry/w/7733001?price_id=22109274,Fernando de Castilla,Classic Dry Amontillado Sherry N.V.,"3,7","€15,95",1727910226.2752953
/NL/nl/fernando-de-castilla-oloroso-classic-dry/w/7285185?price_id=18955995,Fernando de Castilla,Oloroso Classic Dry N.V.,"3,7","€15,95",1727910226.275804
/NL/nl/barbadillo-pedro-ximenez-sherry/w/1158536?price_id=11196625,Barbadillo,Pedro Ximénez Sherry N.V.,"3,8","€15,50",1727910226.277528
/NL/nl/osborne-fino-sherry-fino-sherry/w/6447143?price_id=32976137,Osborne,Fino Sherry N.V.,"3,1","€15,40",1727910226.2785456
/NL/nl/osborne-manzanilla-sherry-fina/w/1164454?price_id=32524557,Osborne,Manzanilla Sherry Fina N.V.,"3,1","€15,40",1727910226.2798393
/NL/nl/tio-pepe-palomino-fino-sherry-muy-seco/w/1212990?price_id=35855811,Tio Pepe,Palomino Fino Sherry (Muy Seco) N.V.,"3,3","€15,15",1727910226.280872
/NL/nl/baron-107124-micaela-moscatel/w/3966742?price_id=25518506,Barón,Micaela Moscatel N.V.,"3,9",€15,1727910226.281901
/NL/nl/lustau-papirusa-manzanilla-solera-reserva/w/1170125?price_id=1947960,Lustau,Papirusa Manzanilla (Solera Reserva) N.V.,"3,6","€14,99",1727910226.281901
/NL/nl/rodriguez-de-vera-pureta-vermut/w/7172933?price_id=29804564,Rodríguez de Vera,Pureta Vermut N.V.,"4,2","€14,95",1727910226.2829168
/NL/nl/fernando-de-castilla-classic-dry-sec-fino/w/1215718?price_id=25192921,Fernando de Castilla,Classic Dry Sec Fino N.V.,"3,3","€14,95",1727910226.2829168
/NL/nl/callejuela-manzanilla-en-rama/w/5344587?price_id=36576888,Callejuela,Manzanilla en Rama N.V.,"4,0","€14,90",1727910226.284068
/NL/nl/lustau-jarana-fino-sherry-very-dry/w/1591507?price_id=20978078,Lustau,Jarana Fino Sherry (Very Dry) N.V.,"3,3","€14,49",1727910226.284068
/NL/nl/fernando-de-castilla-classic-sweet-cream-sherry/w/7706653?price_id=22958369,Fernando de Castilla,Classic Sweet Cream Sherry N.V.,"4,1","€13,95",1727910226.285131
/NL/nl/el-maestro-sierra-fino-sherry/w/1670124?price_id=35001629,El Maestro Sierra,Fino Sherry N.V.,"3,6","€13,50",1727910226.2861536
/NL/nl/juan-pinero-manzanilla-jarona/w/6656303?price_id=35887989,Juan Pinero,Manzanilla Jarona N.V.,"3,4","€8,49",1727910226.2871675
/NL/nl/barbadillo-amontillado-sherry/w/6477445?price_id=21883518,Barbadillo,Amontillado Sherry N.V.,"3,6","€8,30",1727910226.2881827
/NL/nl/gil-luque-leyenda-fino-sherry/w/1462876?price_id=1853013,Gil Luque,Leyenda Fino Sherry N.V.,"3,7","€7,50",1727910226.2881827
/NL/nl/alvear-pedro-ximenez-de-cosecha/w/2252583?year=1927&price_id=20554631,Alvear,Pedro Ximenez de Cosecha 1927,"3,9","€15,80",1727910226.289612
/NL/nl/balandro-las-botas-amontillado-perpendicular/w/6513491?price_id=34190960,Balandro,Las Botas Amontillado Perpendicular N.V.,"4,0",€53,1727910226.289612
/NL/nl/toro-albala-electrico-don-px-reserva-especial/w/1435123?year=2020&price_id=34605118,Toro Albalá,Eléctrico Don PX Reserva Especial 2020,"4,6","€31,50",1727910226.2906666
/NL/nl/valdespino-jerez-dulce-sherry/w/1384015?price_id=743004,Valdespino,Jerez Dulce Sherry N.V.,"3,7","€12,83",1727910226.2906666
/NL/nl/baron-107124-manzanilla-manzanilla/w/6066489?price_id=15435890,Barón,Manzanilla N.V.,"3,6","€12,50",1727910226.2918909
/NL/nl/cota-45-pandorga-esencia-de-pedro-ximenez/w/5550206?year=2017&price_id=35947113,Cota 45,Pandorga Esencia de Pedro Ximénez 2017,"4,4","€49,50",1727910226.2918909
/NL/nl/delgado-zuleta-zuleta-cream/w/4349642?price_id=31864268,Delgado Zuleta,Zuleta Cream N.V.,"4,0","€16,50",1727910226.2928977
/NL/nl/alvear-fino-en-rama/w/1175835?year=2008&price_id=33461936,Alvear,Fino En Rama 2008,"3,2","€8,20",1727910226.2939112
/NL/nl/es-marques-del-real-tesoro-valdespino-fino-seco/w/2046025?price_id=30816648,Marqués del Real Tesoro,Valdespino Fino Seco N.V.,"3,4","€20,99",1727910226.294931
/NL/nl/barbadillo-manzanilla-muyfina/w/86191?price_id=36599079,Barbadillo,Manzanilla Muyfina N.V.,"3,1","€4,95",1727910226.2969518
/NL/nl/toro-albala-don-px-convento-seleccion/w/2395864?year=1931&price_id=37124685,Toro Albalá,Don PX Convento Selección 1931,"4,8","€393,63",1727910226.2983367
/NL/nl/williams-humbert-don-zoilo-amontillado-12-years-old-sherry/w/6726073?price_id=36872117,Williams & Humbert,Don Zoilo Amontillado 12 Years Old Sherry N.V.,"3,8","€14,95",1727910226.2996407
/NL/nl/alvaro-domecq-la-janda-fino/w/2579176?price_id=1688388,Álvaro Domecq,La Janda Fino N.V.,"3,5","€11,95",1727910226.300656
/NL/nl/alvear-fino-capataz-solera-de-la-casa-montilla-moriles-fortified-wine/w/6003502?price_id=32069546,Alvear,Fino Capataz (Solera de la Casa) N.V.,"4,0","€21,10",1727910226.301667
/NL/nl/juan-pinero-moscatel/w/4968115?price_id=35947345,Juan Pinero,Moscatel N.V.,"3,9","€28,50",1727910226.3030038
