Brand,Wine,Rating,Price
Paco & Lola,No. 12 Albariño 2023,"3,9","€12,90"
Nube de Leza García,Tempranillo Blanco 2023,"3,6","€12,80"
Beronia,Rueda Verdejo 2023,"3,8","€12,75"
Viña Pomal,Viura - Malvasia 2023,"3,7","€12,75"
Celler Frisach,L'Abrunet Blanc 2023,"3,7","€12,75"
Cune (CVNE),Blanco 2023,"3,4","€12,70"
Baron de Ley,Blanco 2022,"3,7","€12,67"
Loxarel,Xarel-lo Fermentat Em Àmfores 2021,"3,9","€12,55"
Bodegas Amanovo,La Diversidad 2022,"4,2","€12,50"
Beronia,Rueda Verdejo 2022,"3,8","€12,50"
Bodega Alanis,Gran Alanis Blanco 2022,"3,3","€12,50"
Bodegas Care,Garnacha Blanca Barrica 2022,"3,8","€12,50"
Pago del Vicario,Go de Godello 2023,"3,7","€12,50"
Azul y Garanza,Suelovivo White 2022,"3,8","€12,50"
El Coto,875m Finca Carbonera Chardonnay 2023,"3,9","€12,50"
Juan Gil,Blanco 2023,"4,2","€12,50"
Finca Bacara,Yeya Moscatel - Chardonnay 2022,"3,8","€12,50"
Menade,Verdejo 2022,"3,9","€12,50"
Parés Baltà,Penedès Parellada Honeymoon 2023,"4,0","€12,40"
Herència Altés,Garnatxa Blanca 2022,"3,8","€12,31"
Bodegas Pascual,Heredad de Peñalosa Verdejo - Viura 2023,"3,7","€12,25"
Abadal,Alba 2022,"3,7","€12,25"
Abadal,Alba 2023,"3,8","€12,25"
El Coto,875m Finca Carbonera Chardonnay 2022,"3,8","€12,25"
José Pariente,Sauvignon Blanc 2023,"4,1","€12,19"
Abadal,Blanc 2022,"4,0","€12,15"
Bodegas Marqués de Cáceres,Verdejo 2022,"3,7","€12,08"
Ramón Bilbao,Verdejo Rueda 2023,"3,9",€12
Bodegas Nekeas,El Rincón de Nekeas Chardonnay 2023,"3,6","€11,99"
Antoxo,Albariño 2022,"4,0","€11,99"
Pedras Loiras,Albariño 2022,"4,1","€11,95"
Bodegas Miguel Arroyo Izquierdo,MUS Verdejo Old Vines 2022,"4,1","€11,95"
Sonsierra,Fermentado en Barrica 2022,"3,8","€11,95"
Javier Sanz Viticultor,Verdejo 2023,"4,0","€12,95"
Viñedos Hermanos Hernáiz,Finca La Emperatriz El Jardín de La Emperatriz Blanco 2022,"3,7","€11,95"
Familia Conesa,Viña Consolación Chardonnay 2023,"3,6","€11,95"
Bodegas Martín Códax,Mara Martin Godello 2021,"3,8","€11,95"
Marina Alta,Gran Selección Blanco 2021,"3,9","€11,95"
Naia,S-Naia 2022,"3,7","€11,95"
Vicente Gandía,Bobal Blanco 2023,"4,0","€11,95"
Álvarez y Díez,Mantel Blanco Verdejo 2022,"4,0","€11,95"
Vetus,Flor de Vetus Verdejo 2023,"4,0","€12,95"
Shaya,Arindo 2022,"3,7","€11,95"
Marqués de Riscal,Blanco (Verdejo) 2023,"3,9","€11,95"
Celler Frisach,L'Abrunet Blanc 2022,"3,6","€11,95"
Bodega Juan Carlos Sancha,Ad Libitum Tempranillo Blanco 2021,"3,7","€11,95"
Viña Sanzo,Viñas Viejas Verdejo 2023,"3,8","€11,95"
Casa Rojo,La Gabacha Sauvignon Blanc 2023,"3,8","€11,89"
Bodegas Félix Lorenzo Cachazo,Carrasviñas Rueda Verdejo 2023,"3,9","€11,75"
Bodegas Félix Lorenzo Cachazo,Manía Sauvignon Blanc 2022,"3,7","€11,70"
Franck Massard,Mas Amor Verdejo 2022,"3,6","€11,62"
Adegas Gran Vinum,Esencia Diviña Albariño 2020,"3,9","€11,52"
Convento de las Claras,Verdejo 2023,"4,0","€11,50"
Lagravera,Ónra Blanco 2021,"3,7","€11,50"
Veira do Mar,Albariño 2023,"4,0","€12,95"
Boal de Arousa,Albariño 2021,"3,9","€11,50"
Rafael Cambra,Soplo Blanco 2023,"3,8","€11,50"
Naia,K-Naia 2023,"4,0","€11,50"
Bodegas Pascual,Heredad de Peñalosa Verdejo 2023,"3,5","€11,49"
Bodegas Care,Garnacha Blanca Nativa 2023,"4,0","€11,49"
Parés Baltà,Penedès Parellada - Xarel-lo - Macabeo Blanc De Pacs 2023,"3,6","€11,45"
Val de Vid,Verdejo 2022,"3,8","€11,45"
Celler del Roure,Cullerot 2022,"3,8","€11,40"
Pío del Ramo,Verdejo The Cat 2023,"3,3","€11,25"
El Coto,Sauvignon Blanc Selección Viñedos 2023,"3,7","€11,17"
Bodegas Marqués de Cáceres,Verdejo 2023,"3,7","€11,10"
Vinos Sanz,Montesol Rueda 2023,"3,8",€11
Félix Solís,Mucho Más Blanco N.V.,"4,0","€10,99"
Bodegas Piqueras,Gran Marius Verdejo Barrica 2022,"3,6","€10,99"
Cuatro Rayas,Cuarenta Vendimias Viñas Viejas Sauvignon Blanc 2023,"3,9","€10,95"
Loxarel,Amaltea Blanco 2022,"3,8","€10,95"
Hacienda López de Haro,Blanco 2023,"3,6","€10,95"
El Brabantino,Verdejo 2023,"4,0","€10,95"
Pago Casa Gran,Falcata Blanco 2023,"4,1","€11,95"
Viñedos Hermanos Hernáiz,Finca La Emperatriz El Jardín de La Emperatriz Blanco 2023,"3,7","€10,95"
Cuatro Rayas,Cuarenta Vendimias Verdejo 2023,"3,9","€10,95"
Bodegas Martín Códax,Mara Martin Godello 2022,"3,9","€10,95"
Bodegas Martín Códax,Mara Martin Godello 2023,"3,8","€10,95"
Bodega de Bardos,Rueda Verdejo 2022,"3,9","€10,95"
Finca Valonga,Claraluna 2021,"4,0","€10,95"
U MES U,Anais Xarel-lo 2022,"3,7","€10,95"
La Boscana,Blanco 2022,"3,6","€10,95"
Costers del Sió,Bosc de Carlac White Blend 2021,"3,8","€10,95"
Hermanos Lurton,Verdejo 2022,"3,8","€10,95"
Menade,Verdejo 2023,"3,9","€10,85"
Cinco Leguas,La Maldición Malvar 2022,"3,8","€10,75"
Bodegas Félix Lorenzo Cachazo,Caballero de Olmedo Blanco 2023,"3,6","€10,75"
Adegas Gran Vinum,Mar de Viñas Albariño 2021,"3,9","€10,59"
Familia Torres,Viña Esmeralda 2022,"4,0","€10,59"
Ciento Volando,Blanco 2021,"3,7","€10,50"
Agusti Torello Mata,Xic Xarel-lo 2019,"3,5","€10,50"
Pinord,Penedès Chardonnay Diorama 2022,"3,4","€10,50"
Bodegas Peñafiel,Alma Serena Verdejo 2021,"3,9","€10,50"
Vera de Estenas,Blanco 2022,"3,4","€10,50"
Viña Costeira,Blanco 2022,"3,5","€10,50"
Pinord,Terra Alta Garnatxa Blanca Diorama 2022,"3,4","€10,50"
De Moya,Diego 2020,"3,9","€10,50"
Naia,K-Naia 2022,"3,7","€10,45"
El Gringo,Slightly Oaked Chardonnay 2019,"3,8","€10,45"
Castillo de Aresan,Sauvignon Blanc 2023,"3,8","€10,30"
Garciarevalo,Viña Adaja Verdejo 2022,"3,8","€10,25"
Honoro Vera,Rueda 2022,"3,7","€10,25"
Castillo de Aresan,Sauvignon Blanc 2020,"3,8","€10,20"
Pago de Cirsus,Chardonnay 2021,"3,8","€10,19"
Hacienda López de Haro,Blanco 2022,"3,7","€10,15"
Pago del Vicario,Blanco de Tempranillo 2023,"3,9",€10
Bodegas Care,Garnacha Blanca Nativa 2022,"3,9","€9,99"
Familia Torres,Natureo Muscat 2023,"3,6","€9,99"
Bodegas Care,Chardonnay 2023,"3,7","€9,99"
Monteabellon,A Cappela Verdejo 2022,"3,7","€9,95"
Hola,Al Mercado Garnacha Blanca 2023,"3,8","€9,95"
Bodegas Bastida,Churubito Chardonnay 2022,"4,2","€9,95"
Cueva del Chamán,Blanco Verdejo 2023,"3,9","€9,95"
Pago de Cirsus,Chardonnay 2022,"3,8","€9,95"
Honoro Vera,Rueda 2023,"3,6","€9,95"
Hijos de Alberto Gutiérrez,Sobre Lías Verdejo 2022,"4,0","€9,95"
Dominio de Punctum,Viognier 2020,"3,5","€9,95"
Bodegas Príncipe de Viana,Vendimia Seleccionada Chardonnay 2023,"3,5","€9,95"
Bodegas Bentomiz,Pixel Blanco 2021,"3,8","€9,95"
Alevilla,Verdejo 2021,"3,7","€9,95"
Cueva del Chamán,Blanco Sauvignon Blanc 2023,"3,8","€9,95"
Bodegas Diaz Bayo,Nuestro Verdejo 2023,"3,8","€9,95"
Bodegas Pedro Escudero,Finca Valdelagunde Cuveé Especial 2023,"4,0","€11,95"
Muruve,Verdejo 2022,"3,7","€9,95"
La Cepa de Pelayo,Ole de Passion Macabeo 2018,"3,9","€9,95"
Neleman,Just Fucking Good Wine Organic Blanc 2022,"3,7","€9,95"
Chozas Carrascal,Bayas Blanco 2022,"3,6","€9,95"
Viña Costeira,Meu Treixadura Blanco 2023,"3,9","€9,95"
Bodegas Pedro Escudero,Finca Valdelagunde Sauvignon Blanc 2023,"4,1","€9,95"
Entre Vinyes,Oníric Xarel-Lo 2023,"3,5","€9,95"
Telmo Rodriguez,Basa Blanco 2023,"3,9","€9,80"
Cerrosol,Verdejo 2022,"3,7","€9,75"
Bodegas Piqueras,Gran Marius Verdejo Barrica 2023,"3,9","€9,75"
Azul y Garanza,Vitis 2023,"3,5","€9,75"
Diez Siglos,Nékora Verdejo 2022,"3,7","€9,75"
Diez Siglos,Nékora Sauvignon Blanc 2022,"3,5","€9,75"
Nius,On The Beach Sauvignon Blanc 2022,"3,9","€9,75"
Latido de Sara,Garnacha Blanca 2023,"3,7","€9,75"
Bodegas Miguel Arroyo Izquierdo,Demimo Blanco 2023,"3,7","€9,50"
Casto Pequeno,Chamelin Verdejo 2023,"3,7","€9,50"
Win,Verdejo De-alcoholised N.V.,"3,1","€9,50"
El Castilla,Viura - Chardonnay 2023,"4,0","€9,95"
Pinord,+ Natura Ecologica Xarel-lo en Lies 2021,"3,3","€9,50"
Pacheco,Blanco 2023,"3,3","€9,45"
Montespina,Sauvignon 2022,"3,8","€9,45"
