Brand,Wine,Rating,Price
Lustau,Jerez-Xeres-Sherry Reserva Solera Rare Amontillado Escuadrilla N.V.,"3,8","€27,52"
Juan Pinero,Cream N.V.,"4,2",€63
Alvear,Pedro Ximénez de Sacristía 2005,"4,4","€41,85"
Alvear,Pedro Ximénez de Sacristía 2004,"4,4","€55,20"
Alvear,Pedro Ximénez de Añada 2021,"4,2","€16,18"
Juan Pinero,Cream N.V.,"4,2",€63
La Guita,Manzanilla N.V.,"3,4","€5,99"
Alvear,Solera 1830 Pedro Ximénez N.V.,"4,4","€72,50"
Gonzalez-Byass,Oloroso Dulce Solera 1847 N.V.,"4,0","€14,04"
Diez Mérito,Bertola Fino N.V.,"3,7","€22,90"
Croft,Particular Pale Amontillado Sherry N.V.,"3,6","€16,06"
Barbadillo,Blend of Medium Dry Amontillado Sherry N.V.,"3,6","€7,45"
Harveys,Bristol Cream Solera Sherry N.V.,"3,8","€17,80"
Barbadillo,Cream Sherry N.V.,"3,7","€8,65"
Williams & Humbert,Canasta Cream N.V.,"3,8","€14,51"
Williams & Humbert,Dry Sack Medium N.V.,"3,4","€15,11"
Padró & Co,Dorado Amargo Suave Vermouth N.V.,"4,1","€15,90"
Padró & Co,Rojo Clásico Vermouth N.V.,"4,1","€15,90"
Fernando de Castilla,Classic Old Medium Amontillado Sherry N.V.,"3,4","€10,99"
Fernando de Castilla,Classic Dry Manzanilla N.V.,"3,4","€10,99"
Lustau,Península Palo Cortado Sherry (Solera Reserva) N.V.,"3,9","€23,90"
Harveys,Bristol Cream Sherry N.V.,"3,6","€11,50"
Hidalgo (La Gitana),Manzanilla La Gitana N.V.,"3,4","€11,50"
Lustau,Solera Reserva Puerto Fino N.V.,"3,3","€17,34"
Hidalgo (La Gitana),Manzanilla Pasada Pastrana N.V.,"3,7","€22,52"
Padró & Co,Rojo Amargo Vermouth N.V.,"4,0","€22,90"
Barbadillo,Principe de Barbadillo Aged 12 Years Amontillado Sherry N.V.,"3,8","€28,25"
Barbadillo,Fino Sherry N.V.,"3,3","€7,65"
Sandeman,Medium Sweet N.V.,"3,8","€6,95"
