Brand,Wine,Rating,Price
Martinet,Camí Pesseroles 2021,"4,2","€98,95"
Parés Baltà,Absis 2018,"4,4","€98,40"
Álvaro Palacios,Finca Dofí 2021,"4,3",€98
La Rioja Alta,Rioja Gran Reserva 904 2015,"4,5","€95,97"
Pago de Los Capellanes,Doroteo Edición Especial 25 Aniversario 2018,"4,5","€95,40"
Callejo,Gran Callejo 2018,"4,2","€94,95"
Benjamin de Rothschild - Vega Sicilia,Macán 2018,"4,4","€94,95"
Artuke,La Condenada Rioja 2021,"4,3","€94,90"
Espectacle del Montsant,Tinto 2020,"4,3","€94,50"
Remírez de Ganuza,Trasnocho 2017,"4,4","€92,95"
Marqués de Riscal,Tapias de Marqués de Riscal 2020,"4,4","€92,95"
Pintia,Toro 2018,"4,5","€92,92"
Telmo Rodriguez,Pegaso Arrebatacapas 2021,"4,2","€91,40"
Marqués de Riscal,Rioja 150 Aniversario 2016,"4,4","€90,90"
Abadía Retuerta,Pago Garduña 2019,"4,2","€90,90"
Bodega Lanzaga,Tabuerniga 2020,"4,2",€90
Estones,Coster d'en Fornós 2018,"4,4",€90
Ferrer Bobet,Selecció Especial Vinyes Velles 2018,"4,4","€89,95"
Telmo Rodriguez,Matallana 2010,"4,0","€89,50"
Benjamin de Rothschild - Vega Sicilia,Macán 2019,"4,4","€89,36"
Viña Pedrosa,Pérez Pascuas Gran Reserva Selección 2016,"4,5","€87,95"
Abadía Retuerta,Pago Valdebellón 2019,"4,4","€85,90"
Bodega Lanzaga,La Estrada Tinto 2014,"4,4",€85
Bodega Lanzaga,El Velado Tinto 2014,"4,3",€85
Bodega Lanzaga,La Estrada Tinto 2016,"4,4",€85
Bodega Lanzaga,La Estrada Tinto 2018,"4,4",€85
Martinet,Els Escurçons 2019,"4,3","€84,95"
Clos Mogador,Manyetes 2021,"4,2","€84,95"
Clos Mogador,Priorat 2021,"4,3","€84,95"
Dominio de Calogía,Tinto 2019,"4,5","€84,95"
Espectacle del Montsant,Tinto 2017,"4,4","€84,50"
Muga,Prado Enea Gran Reserva 2016,"4,5","€83,77"
Bodegas Mauro,VS 2021,"4,6","€83,77"
Valderiz,Tomás Esteban 2017,"4,4","€83,50"
Valderiz,Tomás Esteban 2015,"4,4","€83,40"
Martinet,Clos Martinet 2021,"4,1","€82,95"
Clos Mogador,Manyetes 2020,"4,3","€82,95"
Clos Mogador,Priorat 2020,"4,4","€81,95"
Dominio del Águila,Reserva 2020,"4,3","€81,54"
Leda,Viñas Viejas Tempranillo 2002,"4,0","€80,50"
Sara Pérez y René Barbier,Vuit (El 8) 2017,"4,3","€79,95"
Marqués de Riscal,Rioja 150 Aniversario 2017,"4,4","€79,95"
Martinet,Clos Martinet 2019,"4,2","€79,95"
Clos Mogador,Manyetes 2018,"4,3","€79,95"
Valdevinas,Mirat Gran Reserva 2005,"4,2","€79,50"
Clos Figueras,Clos Figueres 2020,"4,3",€79
Michelini i Mufatto,Encrucijada 2021,"4,1",€79
Martinet,Clos Martinet 2020,"4,2","€78,95"
Remelluri,Granja Gran Reserva Rioja 2015,"4,2","€78,95"
Pintia,Toro 2019,"4,4","€78,18"
Cal Pla,Planots Priorat 2014,"4,5","€77,75"
Hacienda Monasterio,Reserva 2019,"4,5","€77,75"
Sierra de Toloño,Nahikun Tinto 2018,"4,0","€77,57"
Bruno Murciano,La Bruna Bobal Cepas Centenarias Arena 2020,"4,3","€77,50"
Pago de Los Capellanes,Crianza Tinto 2021,"4,3","€77,40"
Remelluri,Granja Gran Reserva Rioja 2012,"4,3","€76,75"
Hacienda Monasterio,Reserva 2018,"4,4","€76,15"
Artuke,El Escolladero 2021,"4,3",€76
Artadi,Quintanilla 2021,"4,3","€75,47"
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos 2015,"4,5",€75
Habla,No. 17 2015,"4,2",€75
Habla,No. 24 2018,"4,2",€75
Habla,No. 20 2016,"4,3",€75
Tinto Pesquera,Reserva 2018,"4,3","€74,96"
Remírez de Ganuza,Rioja Reserva 2016,"4,5","€74,95"
Remelluri,Granja Gran Reserva Rioja 2011,"4,4","€74,50"
Contino,Viña del Olivo 2021,"4,4",€74
Telmo Rodriguez,Pago La Jara 2020,"4,1","€73,94"
Terroir Al Límit Soc. Lda,Arbossar 2021,"4,2","€73,71"
Teso La Monja,Alabaster 2020,"4,7","€72,95"
Matarromera,Ribera del Duero Prestigio 2019,"4,4","€72,95"
Abadía Retuerta,Pago Negralada 2018,"4,4","€72,90"
Contino,Rioja Graciano 2020,"4,2","€72,90"
Teso La Monja,Alabaster 2019,"4,6","€71,95"
Algueira,Dolio 2019,"4,2","€71,95"
Telmo Rodriguez,Matallana 2019,"4,2","€71,95"
Hacienda Monasterio,Reserva 2017,"4,5","€71,58"
Bodega Lanzaga,El Velado Tinto 2018,"4,3","€71,10"
Bodega Lanzaga,El Velado Tinto 2017,"4,3","€71,10"
Parés Baltà,Cabernet Franc - Merlot Mas Irene 2016,"3,9","€70,40"
Telmo Rodriguez,Matallana 2020,"4,3","€69,95"
Sara Pérez y René Barbier,Gratallops Partida Bellvisos 2016,"4,2","€69,95"
Bodega Ribas,Ribas de Cabrera 2018,"4,5","€69,95"
Remírez de Ganuza,Rioja Reserva 2015,"4,4","€69,95"
Terroir Al Límit Soc. Lda,Arbossar 2020,"4,2","€69,80"
Telmo Rodriguez,Altos de Lanzaga 2012,"4,0","€68,99"
Telmo Rodriguez,Altos de Lanzaga 2013,"4,0","€68,99"
Telmo Rodriguez,Altos de Lanzaga 2011,"4,0","€68,99"
Sierra de Toloño,Tereseño 2019,"3,8","€68,70"
Aalto,Aalto 2021,"4,4","€68,53"
Remelluri,Granja Gran Reserva Rioja 2013,"4,3","€68,50"
R. López de Heredia,Viña Tondonia Reserva 2010,"4,2",€68
Allende,Gaminde 2016,"4,2","€67,95"
Bodega Son Mayol,Premier Vin 2018,"4,2","€67,95"
Rudeles,Cerro el Cuberillo 2019,"4,1","€67,01"
Mas Doix,Poboleda Vi de Vila 2022,"4,0",€67
Casa Castillo,Las Gravas 2021,"4,3",€67
Telmo Rodriguez,Ladeiras do Xil O Diviso 2019,"4,2","€65,95"
